ALV-5000/E-WIN Data
Date :	"13.03.17"
Time :	"12:00:34"
Samplename : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89454
Refractive Index:	       1.33000
Wavelength [nm] :	     532.00000
Angle [°]       :	      80.00000
Duration [s]    :	        30
Runs            :	         1
Mode            :	"SINGLE AUTO CH0 "
MeanCR0 [kHz]   :	     143.22610
MeanCR1 [kHz]   :	       0.00000

"Correlation"
  2.00000E-004	  5.61037E-001
  4.00000E-004	  5.64466E-001
  6.00000E-004	  5.50776E-001
  8.00000E-004	  5.49191E-001
  1.00000E-003	  5.48502E-001
  1.20000E-003	  5.52578E-001
  1.40000E-003	  5.53981E-001
  1.60000E-003	  5.48551E-001
  1.80000E-003	  5.46094E-001
  2.00000E-003	  5.47447E-001
  2.20000E-003	  5.45347E-001
  2.40000E-003	  5.51739E-001
  2.60000E-003	  5.46775E-001
  2.80000E-003	  5.50370E-001
  3.00000E-003	  5.49622E-001
  3.20000E-003	  5.50851E-001
  3.60000E-003	  5.48165E-001
  4.00000E-003	  5.46974E-001
  4.40000E-003	  5.49942E-001
  4.80000E-003	  5.50842E-001
  5.20000E-003	  5.46948E-001
  5.60000E-003	  5.44196E-001
  6.00000E-003	  5.47293E-001
  6.40000E-003	  5.48116E-001
  7.20000E-003	  5.46867E-001
  8.00000E-003	  5.46760E-001
  8.80000E-003	  5.46117E-001
  9.60000E-003	  5.44636E-001
  1.04000E-002	  5.46881E-001
  1.12000E-002	  5.45601E-001
  1.20000E-002	  5.42898E-001
  1.28000E-002	  5.43684E-001
  1.44000E-002	  5.47464E-001
  1.60000E-002	  5.42909E-001
  1.76000E-002	  5.46869E-001
  1.92000E-002	  5.43877E-001
  2.08000E-002	  5.42491E-001
  2.24000E-002	  5.43188E-001
  2.40000E-002	  5.44902E-001
  2.56000E-002	  5.41925E-001
  2.88000E-002	  5.40869E-001
  3.20000E-002	  5.38918E-001
  3.52000E-002	  5.40237E-001
  3.84000E-002	  5.38532E-001
  4.16000E-002	  5.39316E-001
  4.48000E-002	  5.37971E-001
  4.80000E-002	  5.35901E-001
  5.12000E-002	  5.35923E-001
  5.76000E-002	  5.34455E-001
  6.40000E-002	  5.32474E-001
  7.04000E-002	  5.31255E-001
  7.68000E-002	  5.29506E-001
  8.32000E-002	  5.28414E-001
  8.96000E-002	  5.25759E-001
  9.60000E-002	  5.24813E-001
  1.02400E-001	  5.24226E-001
  1.15200E-001	  5.21462E-001
  1.28000E-001	  5.16778E-001
  1.40800E-001	  5.15126E-001
  1.53600E-001	  5.12769E-001
  1.66400E-001	  5.09514E-001
  1.79200E-001	  5.07348E-001
  1.92000E-001	  5.04853E-001
  2.04800E-001	  5.03019E-001
  2.30400E-001	  4.97113E-001
  2.56000E-001	  4.92625E-001
  2.81600E-001	  4.88138E-001
  3.07200E-001	  4.83899E-001
  3.32800E-001	  4.78843E-001
  3.58400E-001	  4.75042E-001
  3.84000E-001	  4.69867E-001
  4.09600E-001	  4.66396E-001
  4.60800E-001	  4.58626E-001
  5.12000E-001	  4.50824E-001
  5.63200E-001	  4.43063E-001
  6.14400E-001	  4.35726E-001
  6.65600E-001	  4.28759E-001
  7.16800E-001	  4.22137E-001
  7.68000E-001	  4.15026E-001
  8.19200E-001	  4.08728E-001
  9.21600E-001	  3.96123E-001
  1.02400E+000	  3.84584E-001
  1.12640E+000	  3.73818E-001
  1.22880E+000	  3.62663E-001
  1.33120E+000	  3.52164E-001
  1.43360E+000	  3.42063E-001
  1.53600E+000	  3.32517E-001
  1.63840E+000	  3.22868E-001
  1.84320E+000	  3.05400E-001
  2.04800E+000	  2.89645E-001
  2.25280E+000	  2.75333E-001
  2.45760E+000	  2.61056E-001
  2.66240E+000	  2.47790E-001
  2.86720E+000	  2.34758E-001
  3.07200E+000	  2.22772E-001
  3.22560E+000	  2.14432E-001
