ALV-5000/E-WIN Data
Date :	"13.03.17"
Time :	"13:03:20"
Samplename : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89454
Refractive Index:	       1.33000
Wavelength [nm] :	     532.00000
Angle [°]       :	      80.00000
Duration [s]    :	       900
Runs            :	         1
Mode            :	"SINGLE AUTO CH0"
MeanCR0 [kHz]   :	     414.38989
MeanCR1 [kHz]   :	       0.00000

"Correlation"
  2.00000E-004	  3.44627E-001
  4.00000E-004	  3.49839E-001
  6.00000E-004	  3.47817E-001
  8.00000E-004	  3.46706E-001
  1.00000E-003	  3.45932E-001
  1.20000E-003	  3.45317E-001
  1.40000E-003	  3.44498E-001
  1.60000E-003	  3.44185E-001
  1.80000E-003	  3.43783E-001
  2.00000E-003	  3.43503E-001
  2.20000E-003	  3.43258E-001
  2.40000E-003	  3.42845E-001
  2.60000E-003	  3.42257E-001
  2.80000E-003	  3.42097E-001
  3.00000E-003	  3.41436E-001
  3.20000E-003	  3.41219E-001
  3.60000E-003	  3.40447E-001
  4.00000E-003	  3.39491E-001
  4.40000E-003	  3.38774E-001
  4.80000E-003	  3.38025E-001
  5.20000E-003	  3.37025E-001
  5.60000E-003	  3.36679E-001
  6.00000E-003	  3.35818E-001
  6.40000E-003	  3.35037E-001
  7.20000E-003	  3.33526E-001
  8.00000E-003	  3.32103E-001
  8.80000E-003	  3.30756E-001
  9.60000E-003	  3.29134E-001
  1.04000E-002	  3.27589E-001
  1.12000E-002	  3.26425E-001
  1.20000E-002	  3.25214E-001
  1.28000E-002	  3.23747E-001
  1.44000E-002	  3.21071E-001
  1.60000E-002	  3.18697E-001
  1.76000E-002	  3.16259E-001
  1.92000E-002	  3.13698E-001
  2.08000E-002	  3.11452E-001
  2.24000E-002	  3.09256E-001
  2.40000E-002	  3.07122E-001
  2.56000E-002	  3.04972E-001
  2.88000E-002	  3.00732E-001
  3.20000E-002	  2.96733E-001
  3.52000E-002	  2.93057E-001
  3.84000E-002	  2.89536E-001
  4.16000E-002	  2.86074E-001
  4.48000E-002	  2.82863E-001
  4.80000E-002	  2.79738E-001
  5.12000E-002	  2.76881E-001
  5.76000E-002	  2.71343E-001
  6.40000E-002	  2.66289E-001
  7.04000E-002	  2.61497E-001
  7.68000E-002	  2.57124E-001
  8.32000E-002	  2.53092E-001
  8.96000E-002	  2.49293E-001
  9.60000E-002	  2.45765E-001
  1.02400E-001	  2.42509E-001
  1.15200E-001	  2.36430E-001
  1.28000E-001	  2.31155E-001
  1.40800E-001	  2.26274E-001
  1.53600E-001	  2.21923E-001
  1.66400E-001	  2.18026E-001
  1.79200E-001	  2.14398E-001
  1.92000E-001	  2.11100E-001
  2.04800E-001	  2.08061E-001
  2.30400E-001	  2.02593E-001
  2.56000E-001	  1.97830E-001
  2.81600E-001	  1.93678E-001
  3.07200E-001	  1.89980E-001
  3.32800E-001	  1.86656E-001
  3.58400E-001	  1.83663E-001
  3.84000E-001	  1.80950E-001
  4.09600E-001	  1.78539E-001
  4.60800E-001	  1.74201E-001
  5.12000E-001	  1.70461E-001
  5.63200E-001	  1.67193E-001
  6.14400E-001	  1.64270E-001
  6.65600E-001	  1.61614E-001
  7.16800E-001	  1.59269E-001
  7.68000E-001	  1.57121E-001
  8.19200E-001	  1.55231E-001
  9.21600E-001	  1.51844E-001
  1.02400E+000	  1.48889E-001
  1.12640E+000	  1.46365E-001
  1.22880E+000	  1.44222E-001
  1.33120E+000	  1.42356E-001
  1.43360E+000	  1.40746E-001
  1.53600E+000	  1.39184E-001
  1.63840E+000	  1.37756E-001
  1.84320E+000	  1.35243E-001
