p [MeV/c] 	E_kin [MeV] 	G (Z=38) [1/c] 	G (Z=39) [1/c] 	G (Z=40) [1/c]
0,05 	0,003 	2,845 	2,991 	3,143
0,10 	0,010 	2,835 	2,981 	3,132
0,15 	0,022 	2,825 	2,968 	3,118
0,20 	0,039 	2,822 	2,963 	3,110
0,26 	0,060 	2,830 	2,968 	3,112
0,31 	0,085 	2,844 	2,980 	3,121
0,36 	0,113 	2,862 	2,995 	3,133
0,41 	0,143 	2,881 	3,011 	3,147
0,46 	0,176 	2,898 	3,026 	3,159
0,51 	0,212 	2,913 	3,039 	3,171
0,61 	0,287 	2,937 	3,059 	3,187
0,72 	0,368 	2,951 	3,070 	3,195
0,82 	0,453 	2,958 	3,075 	3,196
0,92 	0,541 	2,960 	3,074 	3,193
1,02 	0,632 	2,958 	3,071 	3,187
1,12 	0,724 	2,954 	3,065 	3,179
1,23 	0,818 	2,948 	3,057 	3,170
1,33 	0,912 	2,941 	3,048 	3,160
1,43 	1,008 	2,933 	3,039 	3,149
1,53 	1,105 	2,925 	3,030 	3,138
1,79 	1,349 	2,904 	3,006 	3,111
2,04 	1,596 	2,884 	2,982 	3,084
2,30 	1,845 	2,864 	2,960 	3,060
2,55 	2,095 	2,845 	2,939 	3,036
3,07 	2,597 	2,811 	2,902 	2,995 
