I [mA] 	B_down [Gauss] 	B_up [Gauss] 
0 	46 	46
25 	78 	66
50 	111 	96
75 	141 	125
100 	171 	153
125 	201 	181
150 	231 	208
175 	261 	247
200 	292 	266
225 	322 	294
250 	352 	322
275 	382 	350
300 	413 	379
325 	444 	409
350 	475 	439
375 	506 	469
400 	537 	499
425 	569 	529
450 	598 	559
475 	628 	589
500 	658 	618
525 	689 	647
550 	720 	676
575 	751 	705
600 	782 	733
625 	812 	760
650 	842 	791
675 	872 	822
700 	901 	855
725 	931 	886
750 	961 	916
775 	991 	946
800 	1021 	976
825 	1051 	1006
850 	1081 	1037
875 	1111 	1068
900 	1141 	1099
925 	1171 	1129
950 	1201 	1159
975 	1231 	1189
1000 	1261 	1219
1025 	1289 	1249
1050 	1313 	1279
1075 	1344 	1309
1100 	1371 	1339
1125 	1401 	1371
1150 	1431 	1403
1175 	1461 	1435
1200 	1491 	1467
1225 	1519 	1497
1250 	1547 	1526
1275 	1576 	1556
1300 	1605 	1586
1325 	1632 	1616
1350 	1658 	1646
1375 	1681 	1681
1400 	1711 	1711 
