delta = 0.5nm	delta = 1mV	delta = 1mV	delta = 1mV
mono [nm]	first [mV]	second [mV]	third [mV]
400	5	4	4
420	9	7	7
440	24	16	16
460	42	27	26
480	62	36	36
500	91	50	50
520	141	72	73
540	204	96	99
560	274	121	124
580	356	147	151
600	444	173	179
620	496	199	204
640	500	210	218
660	501	212	221
680	501	208	216
700	501	221	230
720	501	224	232
740	501	220	229
760	501	210	219
780	501	194	203
800	501	177	184
820	501	164	171
840	501	161	166
860	501	164	170
880	501	171	178
900	501	179	185
920	501	183	190
940	501	183	188
960	501	178	183
980	501	168	173
1000	500	155	159
1020	496	135	141
1040	417	114	116
1060	304	89	91
1080	227	71	74
1100	171	58	59
1120	132	47	48
1140	107	40	41
1160	91	35	36
1180	80	31	32
1200	77	29	30
