ALV-5000/E-WIN Data
Date :	"13.03.17"
Time :	"12:03:40"
Samplename : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89454
Refractive Index:	       1.33000
Wavelength [nm] :	     532.00000
Angle [°]       :	      80.00000
Duration [s]    :	        30
Runs            :	         1
Mode            :	"SINGLE AUTO CH0 "
MeanCR0 [kHz]   :	      68.93812
MeanCR1 [kHz]   :	       0.00000

"Correlation"
  2.00000E-004	  6.11770E-001
  4.00000E-004	  6.02740E-001
  6.00000E-004	  6.00661E-001
  8.00000E-004	  5.99228E-001
  1.00000E-003	  5.78408E-001
  1.20000E-003	  5.88119E-001
  1.40000E-003	  5.89266E-001
  1.60000E-003	  5.81168E-001
  1.80000E-003	  5.87904E-001
  2.00000E-003	  5.77405E-001
  2.20000E-003	  5.74108E-001
  2.40000E-003	  5.82529E-001
  2.60000E-003	  5.88657E-001
  2.80000E-003	  5.82028E-001
  3.00000E-003	  5.73069E-001
  3.20000E-003	  5.74465E-001
  3.60000E-003	  5.74447E-001
  4.00000E-003	  5.81453E-001
  4.40000E-003	  5.78031E-001
  4.80000E-003	  5.88101E-001
  5.20000E-003	  5.86596E-001
  5.60000E-003	  5.83442E-001
  6.00000E-003	  5.75147E-001
  6.40000E-003	  5.81601E-001
  7.20000E-003	  5.79577E-001
  8.00000E-003	  5.79899E-001
  8.80000E-003	  5.79317E-001
  9.60000E-003	  5.78717E-001
  1.04000E-002	  5.74004E-001
  1.12000E-002	  5.77910E-001
  1.20000E-002	  5.77139E-001
  1.28000E-002	  5.76588E-001
  1.44000E-002	  5.78439E-001
  1.60000E-002	  5.73610E-001
  1.76000E-002	  5.70935E-001
  1.92000E-002	  5.71719E-001
  2.08000E-002	  5.72843E-001
  2.24000E-002	  5.69824E-001
  2.40000E-002	  5.66949E-001
  2.56000E-002	  5.67204E-001
  2.88000E-002	  5.63791E-001
  3.20000E-002	  5.63608E-001
  3.52000E-002	  5.59892E-001
  3.84000E-002	  5.55458E-001
  4.16000E-002	  5.59800E-001
  4.48000E-002	  5.52860E-001
  4.80000E-002	  5.50799E-001
  5.12000E-002	  5.49327E-001
  5.76000E-002	  5.45712E-001
  6.40000E-002	  5.41045E-001
  7.04000E-002	  5.37858E-001
  7.68000E-002	  5.34075E-001
  8.32000E-002	  5.30531E-001
  8.96000E-002	  5.21005E-001
  9.60000E-002	  5.21355E-001
  1.02400E-001	  5.17508E-001
  1.15200E-001	  5.10416E-001
  1.28000E-001	  5.01799E-001
  1.40800E-001	  4.93176E-001
  1.53600E-001	  4.86869E-001
  1.66400E-001	  4.79248E-001
  1.79200E-001	  4.71909E-001
  1.92000E-001	  4.63203E-001
  2.04800E-001	  4.58449E-001
  2.30400E-001	  4.44435E-001
  2.56000E-001	  4.32294E-001
  2.81600E-001	  4.19957E-001
  3.07200E-001	  4.09982E-001
  3.32800E-001	  3.97473E-001
  3.58400E-001	  3.86503E-001
  3.84000E-001	  3.77529E-001
  4.09600E-001	  3.66251E-001
  4.60800E-001	  3.45332E-001
  5.12000E-001	  3.28189E-001
