ALV-5000/E-WIN Data
Date :	"13.03.17"
Time :	"12:27:53"
Samplename : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89454
Refractive Index:	       1.33000
Wavelength [nm] :	     532.00000
Angle [°]       :	      80.00000
Duration [s]    :	        30
Runs            :	         1
Mode            :	"SINGLE AUTO CH0 "
MeanCR0 [kHz]   :	     477.22696
MeanCR1 [kHz]   :	       0.00000

"Correlation"
  2.00000E-004	  5.47303E-001
  4.00000E-004	  5.53610E-001
  6.00000E-004	  5.52689E-001
  8.00000E-004	  5.49588E-001
  1.00000E-003	  5.50869E-001
  1.20000E-003	  5.51439E-001
  1.40000E-003	  5.48128E-001
  1.60000E-003	  5.47958E-001
  1.80000E-003	  5.48133E-001
  2.00000E-003	  5.50807E-001
  2.20000E-003	  5.49112E-001
  2.40000E-003	  5.49343E-001
  2.60000E-003	  5.46761E-001
  2.80000E-003	  5.47095E-001
  3.00000E-003	  5.46867E-001
  3.20000E-003	  5.47118E-001
  3.60000E-003	  5.47530E-001
  4.00000E-003	  5.46786E-001
  4.40000E-003	  5.46895E-001
  4.80000E-003	  5.47180E-001
  5.20000E-003	  5.46802E-001
  5.60000E-003	  5.46284E-001
  6.00000E-003	  5.46173E-001
  6.40000E-003	  5.44272E-001
  7.20000E-003	  5.44151E-001
  8.00000E-003	  5.43481E-001
  8.80000E-003	  5.42376E-001
  9.60000E-003	  5.42921E-001
  1.04000E-002	  5.40710E-001
  1.12000E-002	  5.41276E-001
  1.20000E-002	  5.39406E-001
  1.28000E-002	  5.39242E-001
  1.44000E-002	  5.38203E-001
  1.60000E-002	  5.35584E-001
  1.76000E-002	  5.35180E-001
  1.92000E-002	  5.33245E-001
  2.08000E-002	  5.31631E-001
  2.24000E-002	  5.30545E-001
  2.40000E-002	  5.29243E-001
  2.56000E-002	  5.28071E-001
  2.88000E-002	  5.25240E-001
  3.20000E-002	  5.22787E-001
  3.52000E-002	  5.20221E-001
  3.84000E-002	  5.17681E-001
  4.16000E-002	  5.15438E-001
  4.48000E-002	  5.12704E-001
  4.80000E-002	  5.10804E-001
  5.12000E-002	  5.07934E-001
  5.76000E-002	  5.02880E-001
  6.40000E-002	  4.98301E-001
  7.04000E-002	  4.93458E-001
  7.68000E-002	  4.89077E-001
  8.32000E-002	  4.84689E-001
  8.96000E-002	  4.80685E-001
  9.60000E-002	  4.76690E-001
  1.02400E-001	  4.72531E-001
  1.15200E-001	  4.64567E-001
  1.28000E-001	  4.57145E-001
  1.40800E-001	  4.49685E-001
  1.53600E-001	  4.42912E-001
  1.66400E-001	  4.35996E-001
  1.79200E-001	  4.29509E-001
  1.92000E-001	  4.23260E-001
  2.04800E-001	  4.17557E-001
  2.30400E-001	  4.06260E-001
  2.56000E-001	  3.95667E-001
  2.81600E-001	  3.85670E-001
  3.07200E-001	  3.76352E-001
  3.32800E-001	  3.67487E-001
  3.58400E-001	  3.59001E-001
  3.84000E-001	  3.50792E-001
  4.09600E-001	  3.43123E-001
  4.60800E-001	  3.28622E-001
  5.12000E-001	  3.15659E-001
  5.63200E-001	  3.03782E-001
  6.14400E-001	  2.92772E-001
  6.65600E-001	  2.82531E-001
  7.16800E-001	  2.72688E-001
  7.68000E-001	  2.63537E-001
  8.19200E-001	  2.54812E-001
  9.21600E-001	  2.39143E-001
  1.02400E+000	  2.25075E-001
  1.12640E+000	  2.12519E-001
  1.22880E+000	  2.00727E-001
  1.33120E+000	  1.89966E-001
  1.43360E+000	  1.80369E-001
  1.53600E+000	  1.71359E-001
  1.63840E+000	  1.63437E-001
  1.84320E+000	  1.48953E-001
  2.04800E+000	  1.36523E-001
  2.25280E+000	  1.25898E-001
  2.45760E+000	  1.17174E-001
  2.66240E+000	  1.09336E-001
