ALV-5000/E-WIN Data
Date :	"13.03.17"
Time :	"12:11:19"
Samplename : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89454
Refractive Index:	       1.33000
Wavelength [nm] :	     532.00000
Angle [°]       :	      80.00000
Duration [s]    :	        30
Runs            :	         1
Mode            :	"SINGLE AUTO CH0 "
MeanCR0 [kHz]   :	      12.61629
MeanCR1 [kHz]   :	       0.00000

"Correlation"
  2.00000E-004	  7.76056E-001
  4.00000E-004	  6.17709E-001
  6.00000E-004	  6.91532E-001
  8.00000E-004	  5.26766E-001
  1.00000E-003	  5.75982E-001
  1.20000E-003	  5.94170E-001
  1.40000E-003	  5.88821E-001
  1.60000E-003	  4.96808E-001
  1.80000E-003	  5.29976E-001
  2.00000E-003	  5.75982E-001
  2.20000E-003	  4.65781E-001
  2.40000E-003	  5.57793E-001
  2.60000E-003	  5.14997E-001
  2.80000E-003	  6.01660E-001
  3.00000E-003	  5.08577E-001
  3.20000E-003	  5.86146E-001
  3.60000E-003	  5.60468E-001
  4.00000E-003	  4.99483E-001
  4.40000E-003	  5.30511E-001
  4.80000E-003	  5.15532E-001
  5.20000E-003	  5.66888E-001
  5.60000E-003	  5.09112E-001
  6.00000E-003	  5.67958E-001
  6.40000E-003	  5.44152E-001
  7.20000E-003	  5.49769E-001
  8.00000E-003	  5.12055E-001
  8.80000E-003	  5.24894E-001
  9.60000E-003	  5.34790E-001
  1.04000E-002	  5.29976E-001
  1.12000E-002	  5.12322E-001
  1.20000E-002	  5.65550E-001
  1.28000E-002	  5.34644E-001
  1.44000E-002	  5.26887E-001
  1.60000E-002	  5.20200E-001
  1.76000E-002	  4.77404E-001
  1.92000E-002	  5.06024E-001
  2.08000E-002	  4.74596E-001
  2.24000E-002	  4.98000E-001
  2.40000E-002	  4.85562E-001
  2.56000E-002	  4.74702E-001
  2.88000E-002	  4.72294E-001
  3.20000E-002	  4.75705E-001
  3.52000E-002	  4.53504E-001
  3.84000E-002	  4.59389E-001
  4.16000E-002	  4.37259E-001
  4.48000E-002	  4.35922E-001
  4.80000E-002	  4.41142E-001
  5.12000E-002	  4.22338E-001
  5.76000E-002	  4.16081E-001
  6.40000E-002	  3.88461E-001
  7.04000E-002	  3.86083E-001
  7.68000E-002	  3.81298E-001
  8.32000E-002	  3.57159E-001
  8.96000E-002	  3.43652E-001
  9.60000E-002	  3.34658E-001
  1.02400E-001	  3.33630E-001
  1.15200E-001	  2.94511E-001
  1.28000E-001	  2.85233E-001
  1.40800E-001	  2.65172E-001
  1.53600E-001	  2.51313E-001
  1.66400E-001	  2.39414E-001
  1.79200E-001	  2.28812E-001
  1.92000E-001	  2.10172E-001
  2.04800E-001	  1.95777E-001
  2.30400E-001	  1.75456E-001
  2.56000E-001	  1.57325E-001
  2.81600E-001	  1.39787E-001
  3.07200E-001	  1.18212E-001
  3.32800E-001	  1.05812E-001
  3.58400E-001	  9.74449E-002
  3.84000E-001	  8.59844E-002
  4.09600E-001	  7.69865E-002
  4.60800E-001	  6.10394E-002
  5.12000E-001	  5.16469E-002
  5.63200E-001	  4.42354E-002
  6.14400E-001	  3.72585E-002
  6.65600E-001	  2.51437E-002
  7.16800E-001	  2.11495E-002
  7.68000E-001	  1.68237E-002
  8.19200E-001	  1.52059E-002
  9.21600E-001	  1.15332E-002
  1.02400E+000	  6.97890E-003
  1.12640E+000	  4.76334E-003
  1.22880E+000	  3.73946E-003
  1.33120E+000	  1.51407E-003
  1.43360E+000	 -3.74281E-004
  1.53600E+000	  5.52009E-004
  1.63840E+000	  2.09128E-003
  1.84320E+000	  1.57713E-003
  2.04800E+000	  3.06152E-003
  2.25280E+000	 -1.46223E-005
  2.45760E+000	 -1.49475E-003
  2.66240E+000	 -5.10611E-004
  2.86720E+000	 -3.50944E-003
  3.07200E+000	 -3.03035E-003
  3.22560E+000	 -2.56735E-003
  3.63520E+000	 -2.15062E-003
  4.04480E+000	 -1.63554E-003
  4.45440E+000	 -4.25919E-003
  4.86400E+000	 -3.98227E-003
  5.27360E+000	 -3.96456E-003
  5.68320E+000	  1.81710E-004
  6.09280E+000	  3.29374E-003
  6.50240E+000	  1.99225E-004
