ALV-5000/E-WIN Data
Date :	"13.03.17"
Time :	"11:30:46"
Samplename : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89454
Refractive Index:	       1.33000
Wavelength [nm] :	     532.00000
Angle [°]       :	      80.00000
Duration [s]    :	        30
Runs            :	         1
Mode            :	"SINGLE AUTO CH0 "
MeanCR0 [kHz]   :	      96.61020
MeanCR1 [kHz]   :	       0.00000

"Correlation"
  2.00000E-004	  6.09417E-001
  4.00000E-004	  5.97599E-001
  6.00000E-004	  5.97509E-001
  8.00000E-004	  5.93443E-001
  1.00000E-003	  5.87399E-001
  1.20000E-003	  5.92544E-001
  1.40000E-003	  5.86715E-001
  1.60000E-003	  5.96249E-001
  1.80000E-003	  5.97922E-001
  2.00000E-003	  5.89755E-001
  2.20000E-003	  5.95944E-001
  2.40000E-003	  5.91033E-001
  2.60000E-003	  5.98894E-001
  2.80000E-003	  5.90223E-001
  3.00000E-003	  5.90259E-001
  3.20000E-003	  5.88514E-001
  3.60000E-003	  5.85204E-001
  4.00000E-003	  5.93641E-001
  4.40000E-003	  5.90483E-001
  4.80000E-003	  5.83000E-001
  5.20000E-003	  5.82182E-001
  5.60000E-003	  5.85734E-001
  6.00000E-003	  5.88838E-001
  6.40000E-003	  5.86038E-001
  7.20000E-003	  5.80749E-001
  8.00000E-003	  5.85512E-001
  8.80000E-003	  5.80066E-001
  9.60000E-003	  5.82293E-001
  1.04000E-002	  5.82207E-001
  1.12000E-002	  5.74967E-001
  1.20000E-002	  5.72709E-001
  1.28000E-002	  5.78399E-001
  1.44000E-002	  5.77912E-001
  1.60000E-002	  5.76091E-001
  1.76000E-002	  5.75794E-001
  1.92000E-002	  5.70717E-001
  2.08000E-002	  5.68194E-001
  2.24000E-002	  5.70166E-001
  2.40000E-002	  5.68405E-001
  2.56000E-002	  5.66932E-001
  2.88000E-002	  5.64841E-001
  3.20000E-002	  5.63617E-001
  3.52000E-002	  5.58885E-001
  3.84000E-002	  5.57666E-001
  4.16000E-002	  5.52560E-001
  4.48000E-002	  5.52166E-001
  4.80000E-002	  5.47463E-001
  5.12000E-002	  5.45520E-001
  5.76000E-002	  5.40716E-001
  6.40000E-002	  5.37500E-001
  7.04000E-002	  5.30963E-001
  7.68000E-002	  5.26452E-001
  8.32000E-002	  5.20816E-001
  8.96000E-002	  5.15585E-001
  9.60000E-002	  5.12066E-001
  1.02400E-001	  5.07136E-001
  1.15200E-001	  4.98080E-001
  1.28000E-001	  4.86691E-001
  1.40800E-001	  4.77973E-001
  1.53600E-001	  4.69215E-001
  1.66400E-001	  4.60429E-001
  1.79200E-001	  4.53351E-001
  1.92000E-001	  4.45837E-001
  2.04800E-001	  4.36322E-001
  2.30400E-001	  4.18671E-001
  2.56000E-001	  4.03546E-001
  2.81600E-001	  3.89557E-001
  3.07200E-001	  3.74571E-001
  3.32800E-001	  3.61096E-001
  3.58400E-001	  3.48613E-001
  3.84000E-001	  3.35052E-001
  4.09600E-001	  3.22835E-001
  4.60800E-001	  2.99918E-001
  5.12000E-001	  2.77855E-001
  5.63200E-001	  2.58711E-001
  6.14400E-001	  2.39941E-001
  6.65600E-001	  2.22174E-001
  7.16800E-001	  2.06582E-001
  7.68000E-001	  1.91147E-001
  8.19200E-001	  1.78018E-001
  9.21600E-001	  1.54038E-001
  1.02400E+000	  1.33437E-001
  1.12640E+000	  1.15532E-001
  1.22880E+000	  1.00443E-001
  1.33120E+000	  8.71205E-002
  1.43360E+000	  7.69173E-002
  1.53600E+000	  6.71316E-002
  1.63840E+000	  5.93512E-002
  1.84320E+000	  4.54588E-002
  2.04800E+000	  3.47186E-002
  2.25280E+000	  2.76105E-002
  2.45760E+000	  2.17550E-002
  2.66240E+000	  1.68583E-002
  2.86720E+000	  1.20251E-002
  3.07200E+000	  8.51707E-003
  3.22560E+000	  7.34205E-003
  3.63520E+000	  4.28391E-003
  4.04480E+000	  3.48683E-003
  4.45440E+000	  2.64727E-003
  4.86400E+000	  2.66026E-003
  5.27360E+000	  3.63339E-003
  5.68320E+000	  3.76693E-003
  6.09280E+000	  4.51166E-003
  6.50240E+000	  5.25902E-003
  7.32160E+000	  4.89191E-003
  8.14080E+000	  4.91590E-003
  8.96000E+000	  4.14450E-003
  9.77920E+000	  1.92355E-003
  1.05984E+001	  2.16186E-004
  1.14176E+001	  1.80214E-003
  1.22368E+001	  7.48265E-005
  1.30560E+001	 -2.28834E-003
  1.46944E+001	 -6.51756E-004
  1.63328E+001	 -9.62408E-004
  1.79712E+001	 -4.68172E-004
  1.96096E+001	  1.83625E-003
  2.12480E+001	  1.50740E-003
  2.28864E+001	  2.94164E-003
  2.45248E+001	  4.11189E-003
  2.61632E+001	  3.31315E-003
  2.94400E+001	  9.02380E-004
  3.27168E+001	  3.05567E-003
  3.59936E+001	  1.35231E-003
  3.92704E+001	 -1.14011E-003
  4.25472E+001	 -1.03958E-003
  4.58240E+001	 -1.69408E-003
  4.91008E+001	 -2.69134E-004
  5.23776E+001	  3.41942E-005
  5.89312E+001	 -4.72649E-004
  6.54848E+001	  3.69217E-004
  7.20384E+001	 -2.09444E-003
  7.85920E+001	 -1.92150E-003
  8.51456E+001	  1.20170E-003
  9.16992E+001	  6.16169E-003
  9.82528E+001	 -4.85029E-004
  1.04806E+002	 -1.09243E-003
  1.17914E+002	 -7.97251E-004
  1.31021E+002	 -8.90277E-005
  1.44128E+002	  1.70760E-003
  1.57235E+002	  1.81982E-003
  1.70342E+002	  4.45755E-004
  1.83450E+002	  8.49674E-004
  1.96557E+002	  1.33414E-003
  2.09664E+002	  5.73347E-005
  2.35878E+002	 -7.22746E-004
  2.62093E+002	 -1.70572E-003
  2.88307E+002	 -2.37706E-003
  3.14522E+002	 -1.94987E-004
  3.40736E+002	  1.02762E-003
  3.66950E+002	 -1.24384E-003
  3.93165E+002	 -5.75837E-004
  4.19379E+002	 -1.35622E-003
  4.71808E+002	  1.42357E-004
  5.24237E+002	  7.61309E-004
  5.76666E+002	 -6.78034E-004
  6.29094E+002	  3.20849E-004
  6.81523E+002	 -3.35784E-004
  7.33952E+002	 -1.44455E-003
  7.86381E+002	  1.06670E-004
  8.38810E+002	  1.55536E-004
